term,definition,content
5/1 Adjustable Rate Mortgage,"A 5/1 adjustable rate mortgage (ARM) or 5-year ARM is a mortgage loan where ""5"" is the number of years your initial interest rate will stay fixed. The ""1"" represents how often your interest rate will adjust after the initial five-year period ends. The most common fixed periods are 3, 5, 7, and 10 years and ""1,"" is the most common adjustment period. It's important to carefully read the contract and ask questions if you're considering an ARM. ","A 5/1 adjustable rate mortgage (ARM) or 5-year ARM is a mortgage loan where ""5"" is the number of years your initial interest rate will stay fixed. The ""1"" represents how often your interest rate will adjust after the initial five-year period ends. The most common fixed periods are 3, 5, 7, and 10 years and ""1,"" is the most common adjustment period. It's important to carefully read the contract and ask questions if you're considering an ARM. "
Ability-to-repay rule,The ability-to-repay rule is the reasonable and good faith determinationmost mortgage lenders are required to make that you are able to pay back the loan. ,The ability-to-repay rule is the reasonable and good faith determinationmost mortgage lenders are required to make that you are able to pay back the loan. 
Adjustable Rate Mortgage (ARM),"An adjustable rate mortgage (ARM) is a type of loan for which the interest rate can change, usually in relation to an index interest rate. Your monthly payment will go up or down depending on the loan's introductory period, rate caps, and the index interest rate. With an ARM, the interest rate and monthly payment may start out lower than for a fixed-rate mortgage, but both the interest rate and monthly payment can increase substantially. ","An adjustable rate mortgage (ARM) is a type of loan for which the interest rate can change, usually in relation to an index interest rate. Your monthly payment will go up or down depending on the loan's introductory period, rate caps, and the index interest rate. With an ARM, the interest rate and monthly payment may start out lower than for a fixed-rate mortgage, but both the interest rate and monthly payment can increase substantially. "
Amortization,"Amortization means paying off a loan with regular payments over time, so that the amount you owe decreases with each payment. Most home loans amortize, but some mortgage loans do not fully amortize, meaning that you would still owe money after making all of your payments. Some home loans allow payments that cover only the amount of interest due, or an amount less than the interest due. If payments are less than the amount of interest due each month, the mortgage balance will grow rather than decrease. This is called negative amortization. Other loan programs that do not amortize fully during the loan may require a large, lump sum ""balloon"" payment at the end of the loan term. Be sure you know what type of loan you are getting. ","Amortization means paying off a loan with regular payments over time, so that the amount you owe decreases with each payment. Most home loans amortize, but some mortgage loans do not fully amortize, meaning that you would still owe money after making all of your payments. Some home loans allow payments that cover only the amount of interest due, or an amount less than the interest due. If payments are less than the amount of interest due each month, the mortgage balance will grow rather than decrease. This is called negative amortization. Other loan programs that do not amortize fully during the loan may require a large, lump sum ""balloon"" payment at the end of the loan term. Be sure you know what type of loan you are getting. "
Amount financed,"It means the amount of money you are borrowing from the lender, minus most of the upfront fees the lender is charging you. ","Amount financed means the amount of money you are borrowing from the lender, minus most of the upfront fees the lender is charging you. "
Annual income,"Annual income is a factor in a mortgage loan application and generally refers to your total earned, pre-tax income over a year. Annual income may include income from full-time or part-time work, self-employment, tips, commissions, overtime, bonuses, or other sources. A lender will use information about your annual income and your existing monthly debts to determine if you have the ability to repay the loan. Whether a lender will rely upon a specific income source or amount when considering you for a loan will often depend upon whether you can reasonably expect the income to continue. ","Annual income is a factor in a mortgage loan application and generally refers to your total earned, pre-tax income over a year. Annual income may include income from full-time or part-time work, self-employment, tips, commissions, overtime, bonuses, or other sources. A lender will use information about your annual income and your existing monthly debts to determine if you have the ability to repay the loan. Whether a lender will rely upon a specific income source or amount when considering you for a loan will often depend upon whether you can reasonably expect the income to continue. "
Annual Percentage Rate (APR),"An annual percentage rate (APR) is a broader measure of the cost of borrowing money than the interest rate. The APR reflects the interest rate, any points, mortgage broker fees, and other charges that you pay to get the loan. For that reason, your APR is usually higher than your interest rate. Learn how to compare APRs","An annual percentage rate (APR) is a broader measure of the cost of borrowing money than the interest rate. The APR reflects the interest rate, any points, mortgage broker fees, and other charges that you pay to get the loan. For that reason, your APR is usually higher than your interest rate. Learn how to compare APRs"
Appraisal fee,"An appraisal fee is the cost of a home appraisal of a house you plan to buy or already own. Home appraisals provide an independent assessment of the value of the property. In most cases, the selection of the appraiser and any associated costs is up to your lender. ","An appraisal fee is the cost of a home appraisal of a house you plan to buy or already own. Home appraisals provide an independent assessment of the value of the property. In most cases, the selection of the appraiser and any associated costs is up to your lender. "
Automatic payment,Automatic payments allow you to set up recurring mortgage payments through your bank. Automatic payments can be a convenient way to make sure that you make your payments on time.,Automatic payments allow you to set up recurring mortgage payments through your bank. Automatic payments can be a convenient way to make sure that you make your payments on time.
Balloon loan,"For mortgages, a balloon loan means that the loan has a larger-than-usual, one-time payment, typically at the end of the loan term. This one-time payment is called a ""balloon payment, and it is higher than your other payments, sometimes much higher. If you cannot pay the balloon amount, you might have to refinance, sell your home, or face foreclosure. Find out why balloon loans might be risky.","For mortgages, a balloon loan means that the loan has a larger-than-usual, one-time payment, typically at the end of the loan term. This one-time payment is called a ""balloon payment, and it is higher than your other payments, sometimes much higher. If you cannot pay the balloon amount, you might have to refinance, sell your home, or face foreclosure. Find out why balloon loans might be risky."
